#{"t_start": 1764260614.415021, "env_id": "PandaReach-v3"}
r,l,t
-3.0,4,69.45037
-50.0,50,70.417235
-50.0,50,70.519365
-6.0,7,70.533778
-4.0,5,70.544974
-50.0,50,70.649608
-50.0,50,70.752441
-50.0,50,70.855307
-2.0,3,70.861434
-50.0,50,70.963977
-4.0,5,70.974207
-6.0,7,70.987939
-2.0,3,70.99389
-3.0,4,71.001745
-50.0,50,71.109475
-50.0,50,71.220099
-6.0,7,71.236487
-50.0,50,71.341286
-50.0,50,71.449367
-3.0,4,71.457694
-50.0,50,71.559211
-50.0,50,71.661918
-3.0,4,71.669985
-4.0,5,71.679868
-50.0,50,71.77959
-50.0,50,71.885818
-9.0,10,71.906758
-4.0,5,71.917388
-4.0,5,71.928235
-50.0,50,72.031671
-50.0,50,72.138084
-6.0,7,72.151968
-15.0,16,72.185538
-50.0,50,72.288519
-50.0,50,72.39527
-13.0,14,72.425788
-4.0,5,72.4368
-50.0,50,72.542191
-50.0,50,72.650089
-34.0,35,72.72396
-4.0,5,72.735041
-50.0,50,72.840548
-2.0,3,72.84647
-50.0,50,72.951736
-17.0,18,72.98967
-28.0,29,73.052866
-3.0,4,73.061585
-50.0,50,73.165888
-2.0,3,73.172581
-50.0,50,73.276486
-50.0,50,73.380892
0.0,1,73.382936
-50.0,50,73.484588
-3.0,4,73.492658
-50.0,50,73.591592
-50.0,50,73.695071
-7.0,8,73.711511
-50.0,50,73.814019
-50.0,50,73.921911
-4.0,5,73.934073
-3.0,4,73.942819
-1.0,2,73.947538
-50.0,50,74.056162
-50.0,50,74.161342
-7.0,8,74.179187
-50.0,50,74.286416
-50.0,50,74.389527
-50.0,50,74.495607
-2.0,3,74.501691
-14.0,15,74.532831
-6.0,7,74.547589
-50.0,50,75.52264
-6.0,7,75.537453
-6.0,7,75.552299
-1.0,2,75.556347
-4.0,5,75.566378
-4.0,5,75.576202
-7.0,8,75.592155
-4.0,5,75.602078
-50.0,50,75.706425
-50.0,50,75.811832
-5.0,6,75.824713
-50.0,50,75.934474
-6.0,7,75.9496
-50.0,50,76.062729
-6.0,7,76.07789
-50.0,50,76.181069
-50.0,50,76.285229
-50.0,50,76.393769
-3.0,4,76.402534
-4.0,5,76.413249
-4.0,5,76.423842
-50.0,50,76.523058
-2.0,3,76.529438
-50.0,50,76.636592
-4.0,5,76.647857
-50.0,50,76.750536
-50.0,50,76.856228
-3.0,4,76.864698
-50.0,50,76.966452
-50.0,50,77.068069
-5.0,6,77.080592
-2.0,3,77.087006
-6.0,7,77.102042
-11.0,12,77.12737
-3.0,4,77.135588
-50.0,50,77.241399
-50.0,50,77.342086
-4.0,5,77.352533
-50.0,50,77.456553
-50.0,50,77.561236
-5.0,6,77.57386
-50.0,50,77.677663
0.0,1,77.67983
-50.0,50,77.783589
-1.0,2,77.787987
-50.0,50,77.894638
-50.0,50,77.997073
-8.0,9,78.01651
-5.0,6,78.02946
-6.0,7,78.043645
-6.0,7,78.057368
-50.0,50,78.16709
-50.0,50,78.270871
-4.0,5,78.28127
-50.0,50,78.681431
-50.0,50,78.781689
-50.0,50,78.887062
-50.0,50,78.991187
-50.0,50,79.092391
-3.0,4,79.100218
-50.0,50,79.206803
-50.0,50,79.309554
-15.0,16,79.341629
-7.0,8,79.358158
-50.0,50,79.461654
-50.0,50,79.565448
-50.0,50,79.667884
-50.0,50,79.773542
-50.0,50,79.875541
-14.0,15,79.907171
-1.0,2,79.911654
-47.0,48,80.016571
-4.0,5,80.026614
-2.0,3,80.033096
-50.0,50,81.00267
-7.0,8,81.018897
-50.0,50,81.120941
-2.0,3,81.127145
-16.0,17,81.163909
-50.0,50,81.266852
-50.0,50,81.367945
-2.0,3,81.374099
-50.0,50,81.477318
0.0,1,81.479612
-50.0,50,81.582523
-14.0,15,81.612961
-4.0,5,81.623221
-50.0,50,81.725308
-1.0,2,81.729666
-50.0,50,81.839901
-50.0,50,81.945973
-50.0,50,82.050437
-50.0,50,82.15713
-50.0,50,82.263478
-50.0,50,82.371702
-2.0,3,82.378127
-50.0,50,82.48355
-50.0,50,82.583189
-50.0,50,82.688146
-5.0,6,82.700201
-4.0,5,82.710408
-50.0,50,82.819234
-3.0,4,82.827953
-6.0,7,82.843236
-6.0,7,82.858053
-2.0,3,82.86445
-1.0,2,82.868527
-4.0,5,82.878834
-50.0,50,82.985876
-1.0,2,82.990201
-50.0,50,83.091136
-50.0,50,83.194337
-2.0,3,83.201033
-3.0,4,83.208975
-50.0,50,83.325389
-50.0,50,83.432831
-21.0,22,83.480842
-42.0,43,83.574069
-50.0,50,83.681285
-11.0,12,83.707077
-50.0,50,83.8101
-3.0,4,83.818943
-4.0,5,83.833662
-50.0,50,83.949946
